               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.079661,              0.2808,            0.022723,            0.016717,            0.059211,           0.0096146,           0.0013687,            0.091082,             0.20446,            0.030902,          0.00098883,          0.00098883,            0.091089
                  50,            0.084211,             0.27173,            0.023384,            0.017039,            0.059211,            0.010418,           0.0013669,            0.091273,             0.20395,            0.030957,           0.0010088,           0.0010088,            0.090909
                  51,            0.079858,             0.24674,            0.022338,            0.012812,             0.11842,            0.008744,           0.0012934,            0.091014,               0.204,            0.031019,           0.0010287,           0.0010287,            0.090729
                  52,            0.080091,             0.25719,            0.023233,            0.012928,             0.11842,           0.0097898,           0.0012969,            0.090848,              0.2042,            0.031064,           0.0010486,           0.0010486,            0.090549
                  53,            0.080275,              0.2707,            0.022429,            0.012222,             0.28947,           0.0093122,            0.001269,            0.090848,             0.20417,            0.031118,           0.0010685,           0.0010685,            0.090369
                  54,            0.081022,              0.2655,             0.02301,            0.013278,             0.15132,           0.0091823,           0.0012318,            0.090517,             0.20485,             0.03116,           0.0010884,           0.0010884,            0.090188
                  55,            0.080332,             0.27891,            0.022761,            0.014178,             0.11842,           0.0092931,           0.0012138,            0.090421,             0.20532,            0.031194,           0.0011083,           0.0011083,            0.090008
                  56,            0.082677,             0.25796,            0.023463,            0.014447,             0.11184,            0.009747,           0.0013474,            0.090371,             0.20565,            0.031223,           0.0011283,           0.0011283,            0.089828
                  57,            0.078356,               0.227,            0.022501,             0.01706,            0.059211,           0.0094387,           0.0013758,            0.090177,             0.20568,            0.031263,           0.0011482,           0.0011482,            0.089648
                  58,             0.07837,             0.26618,            0.021672,            0.020724,            0.046053,           0.0098487,           0.0014014,            0.090196,             0.20564,            0.031319,           0.0011681,           0.0011681,            0.089468
                  59,            0.081488,             0.25186,            0.022721,            0.019828,            0.065789,           0.0099139,           0.0015322,            0.090098,              0.2056,            0.031363,            0.001188,            0.001188,            0.089288
                  60,            0.078497,             0.26079,            0.022026,            0.020398,            0.065789,            0.011238,           0.0015531,            0.090137,             0.20545,             0.03142,           0.0012079,           0.0012079,            0.089108
                  61,            0.080081,             0.25357,            0.022397,            0.020052,            0.065789,             0.01096,           0.0016797,             0.09012,             0.20546,            0.031468,           0.0012277,           0.0012277,            0.088928
                  62,            0.078094,             0.29721,            0.021885,            0.014814,             0.11184,            0.011245,           0.0016583,            0.090385,             0.20531,            0.031527,           0.0012476,           0.0012476,            0.088748
                  63,             0.07659,              0.2372,            0.022107,            0.015405,             0.11184,            0.011307,            0.001816,            0.090415,             0.20522,            0.031578,           0.0012675,           0.0012675,            0.088568
                  64,            0.078527,              0.2782,            0.022324,            0.017882,             0.10526,            0.011794,           0.0018543,            0.090571,             0.20514,            0.031625,           0.0012874,           0.0012874,            0.088387
                  65,            0.080484,             0.25547,            0.022582,            0.026693,            0.098684,            0.013893,           0.0021018,            0.090477,             0.20541,            0.031664,           0.0013073,           0.0013073,            0.088207
                  66,            0.079664,             0.27375,            0.022699,            0.025643,             0.11842,            0.013176,           0.0018743,            0.090547,             0.20526,              0.0317,           0.0013271,           0.0013271,            0.088027
                  67,            0.080831,             0.25029,            0.022298,            0.016059,             0.32895,            0.015294,           0.0023896,            0.090411,             0.20538,            0.031736,            0.001347,            0.001347,            0.087847
                  68,            0.078184,             0.24078,            0.022182,            0.021662,               0.375,            0.020266,           0.0033731,            0.090411,             0.20507,             0.03178,           0.0013669,           0.0013669,            0.087667
                  69,            0.077954,             0.26997,            0.022568,            0.026645,             0.11842,            0.019786,           0.0032621,            0.090452,              0.2047,            0.031817,           0.0013867,           0.0013867,            0.087487
                  70,             0.07672,              0.2763,             0.02152,            0.021766,             0.30921,            0.020516,           0.0035275,            0.090531,             0.20452,            0.031861,           0.0014066,           0.0014066,            0.087307
                  71,            0.079296,             0.29115,            0.022312,            0.020049,             0.35526,            0.019145,           0.0035791,            0.090648,             0.20427,            0.031918,           0.0014264,           0.0014264,            0.087126
                  72,            0.078983,             0.27239,            0.022627,            0.016779,             0.31579,            0.013689,           0.0024472,            0.090724,             0.20421,            0.031959,           0.0014463,           0.0014463,            0.086946
                  73,            0.079933,             0.24245,             0.02266,             0.02301,             0.34868,             0.02114,           0.0038734,            0.090433,             0.20415,            0.031988,           0.0014661,           0.0014661,            0.086766
                  74,            0.077796,             0.24151,            0.022002,            0.027223,             0.34211,            0.025284,           0.0045784,            0.090102,             0.20424,            0.032008,            0.001486,            0.001486,            0.086586
                  75,            0.076947,             0.25885,            0.022148,            0.044108,             0.10526,             0.03096,           0.0059111,            0.090073,             0.20354,            0.032036,           0.0015058,           0.0015058,            0.086406
                  76,            0.077859,             0.24902,            0.022493,            0.043373,             0.11184,             0.03065,           0.0053751,             0.08991,             0.20325,            0.032049,           0.0015256,           0.0015256,            0.086226
                  77,             0.07983,             0.26633,            0.023054,             0.03492,             0.13535,            0.027762,           0.0052476,            0.089975,             0.20281,            0.032061,           0.0015455,           0.0015455,            0.086045
                  78,            0.081321,             0.28638,            0.022386,            0.030964,             0.34211,            0.026208,           0.0055114,            0.090151,             0.20224,            0.032114,           0.0015653,           0.0015653,            0.085865
                  79,            0.076404,             0.25476,            0.021921,            0.026076,             0.36842,            0.022871,           0.0052866,            0.090031,             0.20239,            0.032138,           0.0015851,           0.0015851,            0.085685
                  80,            0.077586,             0.25636,             0.02223,            0.024277,             0.34211,            0.021417,           0.0045842,            0.089823,             0.20246,            0.032172,           0.0016049,           0.0016049,            0.085505
                  81,            0.077202,             0.26432,            0.022221,            0.028744,             0.28289,            0.025194,           0.0053911,            0.089443,             0.20268,            0.032221,           0.0016247,           0.0016247,            0.085325
                  82,            0.077998,             0.26364,            0.022269,            0.032865,             0.27632,            0.027783,           0.0052182,            0.089109,             0.20302,            0.032243,           0.0016445,           0.0016445,            0.085145
                  83,            0.078423,              0.2895,            0.021906,            0.028605,             0.29605,            0.024493,            0.004868,             0.08923,             0.20326,            0.032261,           0.0016643,           0.0016643,            0.084964
                  84,            0.078821,             0.28229,            0.022422,            0.036682,            0.078947,            0.024756,           0.0046291,            0.089441,             0.20263,            0.032339,           0.0016841,           0.0016841,            0.084784
                  85,            0.075492,             0.23561,            0.022416,             0.02892,             0.32237,            0.024988,           0.0050921,            0.089449,             0.20266,            0.032385,           0.0017039,           0.0017039,            0.084604
                  86,            0.079187,             0.26431,            0.021489,            0.027112,             0.30921,            0.023459,           0.0046528,            0.089219,             0.20293,            0.032329,           0.0017237,           0.0017237,            0.084424
                  87,            0.077285,             0.26067,             0.02126,            0.024584,             0.32237,             0.02045,           0.0038655,             0.08906,             0.20243,            0.032244,           0.0017435,           0.0017435,            0.084243
                  88,             0.07463,             0.26143,            0.021653,            0.025001,             0.26974,            0.020553,           0.0038138,            0.088747,             0.20239,             0.03205,           0.0017632,           0.0017632,            0.084063
                  89,            0.074419,             0.26309,            0.022115,              0.3519,             0.42571,            0.033821,           0.0081099,            0.088326,             0.20076,            0.032004,            0.001783,            0.001783,            0.083883
                  90,            0.074339,             0.26962,            0.021618,             0.27062,             0.42379,            0.037943,           0.0082557,            0.087847,             0.20109,            0.031844,           0.0018028,           0.0018028,            0.083703
                  91,            0.074472,             0.26982,            0.021202,             0.28004,             0.43968,            0.052275,            0.012418,            0.087798,             0.20019,            0.031801,           0.0018225,           0.0018225,            0.083523
                  92,            0.073405,             0.23397,             0.02179,             0.23321,             0.49874,            0.082167,             0.02234,            0.087982,             0.19914,            0.031766,           0.0018423,           0.0018423,            0.083342
                  93,            0.074049,             0.25644,            0.021711,             0.26082,             0.49586,             0.11242,             0.04141,             0.08828,             0.19827,            0.031914,            0.001862,            0.001862,            0.083162
                  94,            0.076609,             0.26991,            0.021651,             0.35919,              0.4113,              0.1217,            0.042618,              0.0884,             0.19724,            0.032061,           0.0018818,           0.0018818,            0.082982
                  95,            0.074005,              0.2785,            0.021759,             0.26862,             0.38151,              0.1174,            0.041473,            0.087922,             0.19678,            0.031867,           0.0019015,           0.0019015,            0.082802
                  96,            0.075233,             0.24664,            0.021951,               0.256,             0.38046,             0.11084,            0.033669,            0.087685,             0.19928,            0.031672,           0.0019212,           0.0019212,            0.082621
                  97,            0.072172,             0.25197,             0.02171,              0.3026,             0.36679,             0.13174,            0.039386,            0.087283,             0.19842,             0.03129,            0.001941,            0.001941,            0.082441
                  98,            0.073858,             0.25262,            0.021697,             0.26924,             0.35511,             0.11745,            0.035601,            0.086171,             0.19469,            0.031283,           0.0019607,           0.0019607,            0.082261
